"Kod";"Nazwa";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";
1017000;"Powiat wieluński";2987,22;3148,95;3252,66;3383,38;3640,03;3851,65;4166,35;4342,78;4994,12;5497,22;6238,07;
1018000;"Powiat wieruszowski";2722,07;2797,73;2976,04;3094,11;3267,25;3454,23;3727,74;4165,25;4510,26;5075,66;5645,70;
1019000;"Powiat zduńskowolski";2986,98;3051,23;3146,61;3271,45;3533,99;3745,55;3971,72;4382,66;4818,67;5607,97;6087,95;
1020000;"Powiat zgierski";3301,43;3389,26;3573,69;3737,14;4017,73;4378,56;4655,05;5081,59;5476,77;6024,38;6749,27;
1021000;"Powiat brzeziński";2607,32;2647,73;2748,42;2901,50;3071,31;3385,89;3806,53;4113,70;4605,78;5262,32;6050,65;
1061000;"Powiat m. Łódź";3710,91;3837,47;4047,78;4230,12;4462,50;4779,47;5174,84;5510,99;6062,04;6629,23;7548,10;
1062000;"Powiat m. Piotrków Trybunalski";2769,22;2952,79;3107,13;3229,18;3446,86;3765,37;4089,07;4422,85;5029,34;5465,30;6168,36;
1063000;"Powiat m. Skierniewice";3082,48;3151,06;3218,53;3437,05;3598,89;3963,58;4293,90;4691,83;5145,34;5797,49;6503,98;
1201000;"Powiat bocheński";3230,64;3359,59;3464,39;3606,23;3783,80;4003,85;4289,47;4523,92;5056,61;5642,88;6184,90;
1202000;"Powiat brzeski";2928,51;3048,33;3171,11;3237,03;3446,38;3690,17;3954,37;4244,82;4676,17;5127,71;5894,20;
1203000;"Powiat chrzanowski";3323,83;3455,97;3554,03;3710,34;3878,27;4208,19;4595,24;4912,69;5321,95;6020,61;6898,73;
1204000;"Powiat dąbrowski";3054,85;3178,77;3245,29;3386,45;3652,45;3794,60;4085,83;4425,26;4807,50;5271,12;6065,58;
1205000;"Powiat gorlicki";2920,54;2952,40;3060,43;3178,84;3430,00;3594,66;3881,28;4158,62;4619,28;5027,39;5761,59;
1206000;"Powiat krakowski";3759,07;3856,94;4204,13;4509,18;4858,15;5248,76;5514,71;5788,98;5562,32;6385,62;7252,41;
1207000;"Powiat limanowski";2994,25;3115,85;3167,23;3259,44;3438,40;3647,39;3870,43;4163,22;4650,69;5183,78;5935,46;
1208000;"Powiat miechowski";2983,24;3094,46;3189,73;3249,28;3436,12;3698,91;4024,88;4415,03;4906,57;5415,22;6131,46;
1209000;"Powiat myślenicki";2917,16;3003,06;3094,21;3477,49;3745,92;4015,38;4286,31;4525,20;5025,52;5603,51;6224,14;
1210000;"Powiat nowosądecki";2871,55;2989,86;3142,18;3240,29;3396,14;3681,50;3909,31;4160,76;4540,71;5134,07;5909,25;
1211000;"Powiat nowotarski";2882,17;3039,93;3121,96;3190,67;3400,75;3714,71;3945,52;4335,07;4664,68;5168,93;5858,04;
1212000;"Powiat olkuski";3546,79;3664,13;3731,21;3866,38;4139,68;4436,66;4671,20;4920,77;5266,62;5894,22;6553,06;
1213000;"Powiat oświęcimski";3386,14;3541,48;3677,68;3808,61;4048,20;4311,80;4615,99;4911,73;5422,84;5899,89;6512,03;
1214000;"Powiat proszowicki";3021,40;3180,67;3313,87;3406,45;3675,73;3884,93;4260,59;4635,66;4968,09;5577,77;6178,05;
1215000;"Powiat suski";3076,24;3174,31;3323,95;3406,33;3675,07;3956,37;4212,34;4482,76;4955,34;5555,61;6182,10;
1216000;"Powiat tarnowski";2827,56;2948,00;3049,76;3155,92;3308,87;3511,79;3779,10;4149,11;4516,68;5010,43;5678,11;
1217000;"Powiat tatrzański";3276,19;3401,20;3520,09;3687,87;3916,60;4190,35;4459,57;4655,05;5056,45;5519,76;6396,51;
1218000;"Powiat wadowicki";2926,30;3004,74;3115,83;3281,91;3495,69;3761,99;4085,96;4457,27;4936,99;5385,08;6048,26;
1219000;"Powiat wielicki";3479,18;3661,08;3812,11;3942,56;4164,18;4474,30;4768,99;5047,98;5369,27;6201,22;7019,50;
1261000;"Powiat m. Kraków";3997,80;4152,52;4431,17;4635,26;4966,20;5368,39;5878,79;6482,24;7203,41;8157,43;9223,73;
1262000;"Powiat m. Nowy Sącz";3098,19;3193,43;3302,29;3416,14;3578,27;3860,88;4115,73;4468,93;4838,59;5478,44;6253,50;
1263000;"Powiat m. Tarnów";3448,15;3513,75;3668,76;3791,71;3947,37;4161,78;5216,76;5629,79;6035,40;6721,47;7650,54;
