"Kod";"Nazwa";"ogółem;ogółem;2013;[szt.]";"ogółem;ogółem;2014;[szt.]";"ogółem;ogółem;2015;[szt.]";"ogółem;ogółem;2016;[szt.]";"ogółem;ogółem;2017;[szt.]";"ogółem;ogółem;2018;[szt.]";"ogółem;ogółem;2019;[szt.]";"ogółem;ogółem;2020;[szt.]";"ogółem;ogółem;2021;[szt.]";"ogółem;ogółem;2022;[szt.]";"ogółem;ogółem;2023;[szt.]";
2213000;"Powiat starogardzki";207;248;216;229;300;375;432;467;582;395;511;
2214000;"Powiat tczewski";420;486;527;596;532;730;642;678;805;735;1013;
2215000;"Powiat wejherowski";1228;1141;1212;1228;1476;1632;1944;2110;2856;2655;3028;
2216000;"Powiat sztumski";57;56;85;80;81;95;95;85;111;90;83;
2261000;"Powiat m. Gdańsk";6271;5469;6822;7704;8573;9682;9978;8475;9699;9186;8899;
2262000;"Powiat m. Gdynia";2078;2108;2215;1933;2913;2978;2866;3053;3980;3456;2445;
2263000;"Powiat m. Słupsk";479;553;684;665;817;1130;1079;1177;1225;984;1212;
2264000;"Powiat m. Sopot";335;428;383;470;457;390;340;455;557;351;322;
2401000;"Powiat będziński";372;387;390;371;413;546;591;497;656;699;628;
2402000;"Powiat bielski";224;193;219;203;209;195;201;238;521;345;445;
2403000;"Powiat cieszyński";257;233;337;336;360;275;378;264;197;392;515;
2404000;"Powiat częstochowski";44;26;50;74;64;66;70;53;76;73;89;
2405000;"Powiat gliwicki";209;232;255;325;334;348;378;326;491;308;345;
2406000;"Powiat kłobucki";13;15;32;20;50;31;27;22;33;98;79;
2407000;"Powiat lubliniecki";51;37;45;65;77;78;80;53;100;150;96;
2408000;"Powiat mikołowski";158;128;155;147;198;205;216;230;354;292;238;
2409000;"Powiat myszkowski";46;45;48;52;52;109;76;94;109;63;165;
2410000;"Powiat pszczyński";196;150;157;292;289;339;304;236;300;207;0;
2411000;"Powiat raciborski";176;193;229;224;250;266;270;261;358;298;364;
2412000;"Powiat rybnicki";18;22;27;69;98;101;94;75;109;84;125;
2413000;"Powiat tarnogórski";351;342;251;205;394;336;393;357;428;528;475;
2414000;"Powiat bieruńsko-lędziński";134;131;102;100;98;104;109;104;110;86;242;
2415000;"Powiat wodzisławski";86;116;190;200;215;214;229;230;246;256;217;
2416000;"Powiat zawierciański";159;166;17;97;206;219;256;198;203;158;183;
2417000;"Powiat żywiecki";38;61;43;76;56;97;103;80;115;167;270;
2461000;"Powiat m. Bielsko-Biała";688;829;822;729;917;804;911;888;1075;1273;1355;
2462000;"Powiat m. Bytom";716;789;831;902;1054;1351;1499;1353;1575;1295;1363;
2463000;"Powiat m. Chorzów";363;380;350;427;683;698;702;789;783;847;927;
2464000;"Powiat m. Częstochowa";477;466;582;619;679;786;1149;1265;1369;1486;1540;
2465000;"Powiat m. Dąbrowa Górnicza";278;242;364;385;370;289;355;484;723;550;0;
2466000;"Powiat m. Gliwice";955;1068;1006;1135;1255;1662;1521;1609;2129;2028;2003;
2467000;"Powiat m. Jastrzębie-Zdrój";70;111;133;129;144;254;242;240;279;278;0;
2468000;"Powiat m. Jaworzno";356;356;418;387;388;364;584;322;451;452;383;
2469000;"Powiat m. Katowice";996;1104;1153;1349;1610;1876;1707;1531;1379;248;4031;
2470000;"Powiat m. Mysłowice";322;381;317;419;458;439;359;242;440;366;403;
2471000;"Powiat m. Piekary Śląskie";154;172;169;199;180;269;217;238;326;319;321;
2472000;"Powiat m. Ruda Śląska";485;564;437;650;640;731;696;755;918;764;827;
2473000;"Powiat m. Rybnik";298;161;156;326;472;484;463;385;704;498;610;
2474000;"Powiat m. Siemianowice Śląskie";500;273;396;347;414;468;485;402;501;405;827;
2475000;"Powiat m. Sosnowiec";475;361;568;354;487;444;451;934;1369;1311;1664;
2476000;"Powiat m. Świętochłowice";163;187;279;236;257;244;200;262;428;364;377;
2477000;"Powiat m. Tychy";685;628;840;712;869;917;896;1172;1117;744;913;
2478000;"Powiat m. Zabrze";546;521;612;719;1007;1196;1334;1154;1456;1132;1244;
2479000;"Powiat m. Żory";160;143;168;192;222;221;179;198;362;349;342;
2601000;"Powiat buski";38;23;39;45;47;51;58;59;153;74;191;
2602000;"Powiat jędrzejowski";0;0;65;71;18;95;114;136;134;152;59;
